Industry,2021,2022,2023,2024,2025
"Agriculture, forestry and fishing","2,583,190","2,837,707","3,225,041","3,642,851","4,070,960"
Growing of crops,"1,844,730","2,016,699","2,278,249","2,482,834","2,755,052"
Animal production,"431,700","466,882","552,318","675,177","733,321"
Support activities to agriculture,"27,022","26,894","27,620","35,706","39,785"
Forestry & logging,"199,012","242,895","277,471","339,326","396,701"
Fishing & aquaculture,"80,726","84,337","89,382","109,807","146,102"
Mining and quarrying,"92,045","120,116","110,151","112,570","141,696"
Manufacturing,"885,633","1,044,191","1,125,632","1,183,823","1,251,981"
"Manufacture of food, beverages and
tobacco","499,252","575,627","635,121","659,130","679,070"
"Other manufacturing and repair and
installation","386,381","468,564","490,512","524,693","572,911"
Electricity supply,"172,640","181,568","261,836","255,226","250,342"
"Water supply; sewerage, waste
management","63,342","64,742","67,779","71,541","74,756"
Construction,"849,377","953,773","1,008,689","1,027,123","1,141,540"
Wholesale and retail trade; repairs,"952,902","1,042,444","1,165,083","1,263,743","1,377,451"
Transportation and storage,"1,391,614","1,774,470","1,980,646","2,060,015","2,080,753"
Land transport,"1,192,764","1,544,301","1,702,848","1,756,694","1,774,374"
"Air transport including support
services","75,494","109,114","154,944","169,581","137,078"
"All other transport including postal
and courier activities","123,356","121,055","122,853","133,740","169,302"
"Accommodation and food service
activities","133,678","145,853","193,146","255,631","303,697"
Information and communication,"291,437","315,733","339,452","374,919","404,715"
Telecommunications,"200,683","222,226","237,296","265,164","289,083"
"Publishing, broadcasting, other IT
and information activities","90,754","93,507","102,155","109,755","115,632"
Financial and insurance activities,"860,626","1,000,605","1,179,097","1,285,914","1,464,998"
Financial activities,"621,853","725,863","863,086","912,780","1,031,836"
Insurance activities,"238,773","274,742","316,010","373,135","433,162"
Real estate,"1,076,597","1,148,722","1,265,138","1,361,486","1,433,937"
"Professional, scientific and technical
activities","179,258","188,529","208,094","232,840","257,037"
"Administrative and support service
activities","105,657","130,618","154,296","171,697","188,008"
Public administration and defence,"634,986","675,754","731,118","810,574","858,822"
Education,"521,945","545,098","577,027","630,109","662,659"
Pre-primary and Primary education,"257,440","269,940","283,322","300,721","326,026"
General secondary education,"146,660","154,244","165,507","185,018","190,680"
Higher and other education,"117,846","120,914","128,198","144,370","145,954"
"Human health and social work
activities","238,544","242,349","259,141","279,882","307,842"
"Arts, entertainment and recreation","23,511","28,300","33,073","39,289","42,955"
Other service activities,"143,824","157,339","168,881","182,875","199,288"
Activities of households as employers,"75,242","79,420","85,605","90,186","94,854"
"Financial Intermediation Services
Indirectly Measured (FISIM)","-244,592","-259,642","-323,769","-327,646","-342,600"
All Economic Activities,"11,031,456","12,417,686","13,815,154","15,004,648","16,265,692"
Taxes less subsidies on production,"996,206","1,071,956","1,218,456","1,227,646","1,311,865"
GDP at Market Prices,"12,027,662","13,489,642","15,033,610","16,232,295","17,577,557"
