Industry,2021,2022,2023,2024,2025
"Agriculture, forestry and fishing",-0.4,-1.5,6.6,4.4,3.1
Growing of crops,-1.4,-2.7,6.5,2.5,2.4
Animal production,4.0,-1.0,9.7,9.5,3.8
Support activities to agriculture,1.9,-1.8,1.0,23.4,7.1
Forestry & logging,-3.1,8.8,3.4,2.5,2.1
Fishing & aquaculture,3.7,7.6,-2.9,10.2,16.5
Mining and quarrying,18.0,9.3,-6.5,-7.8,14.9
Manufacturing,7.3,2.6,2.2,3.0,2.0
"Manufacture of food, beverages and
tobacco",4.6,0.8,1.5,4.9,1.5
"Other manufacturing and repair and
installation",10.7,4.8,3.0,0.8,2.6
Electricity supply,5.3,5.7,3.1,1.2,4.8
"Water supply; sewerage, waste
management",6.3,5.0,3.4,6.6,6.3
Construction,6.7,4.1,3.0,-0.7,6.8
Wholesale and retail trade; repairs,8.0,3.5,3.3,4.0,3.6
Transportation and storage,7.4,5.8,5.5,4.3,3.7
Land transport,6.3,4.5,4.7,4.7,6.7
"Air transport including support
services",29.1,19.8,21.0,0.7,-43.7
"All other transport including postal
and courier activities",7.6,9.1,3.8,3.3,8.7
"Accommodation and food service
activities",52.6,26.8,33.6,25.9,15.6
Information and communication,6.1,9.0,10.3,7.1,4.8
Telecommunications,6.1,10.2,10.5,9.5,6.8
"Publishing, broadcasting, other IT
and information activities",6.3,6.0,9.7,0.4,-1.1
Financial and insurance activities,11.5,12.0,10.1,7.5,6.5
Financial activities,7.0,11.3,9.4,5.0,4.0
Insurance activities,26.9,14.4,12.2,14.4,12.9
Real estate,6.7,4.5,7.3,5.3,3.9
"Professional, scientific and technical
activities",7.9,5.3,8.4,6.5,4.8
"Administrative and support service
activities",5.6,18.0,12.5,6.1,5.4
Public administration and defence,6.0,5.1,5.0,8.7,8.3
Education,22.8,5.2,2.9,4.8,2.8
Pre-primary and Primary education,22.3,5.2,2.1,3.2,3.6
General secondary education,31.5,5.3,3.9,7.6,-2.3
