bank_id,year,return_code,value,reported_date
KCB,2015,A1,652982.36,2015-12-31
KCB,2015,A2,565689.51,2015-12-31
KCB,2015,E1,87292.85,2015-12-31
KCB,2015,P1,40977.99,2015-12-31
KCB,2015,P2,19246.73,2015-12-31
KCB,2015,P3,21731.26,2015-12-31
KCB,2015,P4,9427.71,2015-12-31
KCB,2015,P5,15656.31,2015-12-31
KCB,2015,P6,15502.66,2015-12-31
KCB,2015,P7,10851.86,2015-12-31
KCB,2015,L1,418252.42,2015-12-31
KCB,2015,D1,518722.87,2015-12-31
KCB,2015,R1,14.38,2015-12-31
KCB,2015,C1,20.68,2015-12-31
KCB,2016,A1,738522.63,2016-12-31
KCB,2016,A2,663241.6,2016-12-31
KCB,2016,E1,75281.03,2016-12-31
KCB,2016,P1,44321.94,2016-12-31
KCB,2016,P2,19256.84,2016-12-31
KCB,2016,P3,25065.09,2016-12-31
KCB,2016,P4,10863.72,2016-12-31
KCB,2016,P5,17698.02,2016-12-31
KCB,2016,P6,18230.8,2016-12-31
KCB,2016,P7,12761.56,2016-12-31
KCB,2016,L1,456945.4,2016-12-31
KCB,2016,D1,599802.52,2016-12-31
KCB,2016,R1,12.49,2016-12-31
KCB,2016,C1,21.45,2016-12-31
KCB,2017,A1,790443.96,2017-12-31
KCB,2017,A2,698808.99,2017-12-31
KCB,2017,E1,91634.97,2017-12-31
KCB,2017,P1,62179.24,2017-12-31
KCB,2017,P2,24632.46,2017-12-31
KCB,2017,P3,37546.78,2017-12-31
KCB,2017,P4,11352.26,2017-12-31
KCB,2017,P5,23635.01,2017-12-31
KCB,2017,P6,25264.03,2017-12-31
KCB,2017,P7,17684.82,2017-12-31
KCB,2017,L1,521085.53,2017-12-31
KCB,2017,D1,630860.75,2017-12-31
KCB,2017,R1,10.34,2017-12-31
KCB,2017,C1,20.13,2017-12-31
KCB,2018,A1,896667.26,2018-12-31
KCB,2018,A2,790981.57,2018-12-31
KCB,2018,E1,105685.69,2018-12-31
KCB,2018,P1,63858.22,2018-12-31
KCB,2018,P2,16750.99,2018-12-31
KCB,2018,P3,47107.24,2018-12-31
KCB,2018,P4,16132.56,2018-12-31
KCB,2018,P5,33941.77,2018-12-31
KCB,2018,P6,29298.03,2018-12-31
KCB,2018,P7,20508.62,2018-12-31
KCB,2018,L1,577907.97,2018-12-31
KCB,2018,D1,735549.99,2018-12-31
KCB,2018,R1,11.61,2018-12-31
KCB,2018,C1,16.76,2018-12-31
KCB,2019,A1,964273.44,2019-12-31
KCB,2019,A2,819826.12,2019-12-31
KCB,2019,E1,144447.31,2019-12-31
KCB,2019,P1,70834.35,2019-12-31
KCB,2019,P2,15473.89,2019-12-31
KCB,2019,P3,55360.45,2019-12-31
KCB,2019,P4,16843.35,2019-12-31
KCB,2019,P5,39590.92,2019-12-31
KCB,2019,P6,32612.88,2019-12-31
KCB,2019,P7,22829.02,2019-12-31
KCB,2019,L1,630543.23,2019-12-31
KCB,2019,D1,739726.01,2019-12-31
KCB,2019,R1,13.2,2019-12-31
KCB,2019,C1,19.27,2019-12-31
KCB,2020,A1,1057078.19,2020-12-31
KCB,2020,A2,901015.25,2020-12-31
KCB,2020,E1,156062.93,2020-12-31
KCB,2020,P1,61363.59,2020-12-31
KCB,2020,P2,29481.02,2020-12-31
KCB,2020,P3,31882.57,2020-12-31
KCB,2020,P4,13935.82,2020-12-31
KCB,2020,P5,23102.79,2020-12-31
KCB,2020,P6,22715.59,2020-12-31
KCB,2020,P7,15900.92,2020-12-31
KCB,2020,L1,530341.68,2020-12-31
KCB,2020,D1,832007.07,2020-12-31
KCB,2020,R1,17.1,2020-12-31
KCB,2020,C1,21.43,2020-12-31
KCB,2021,A1,1184218.33,2021-12-31
KCB,2021,A2,1048298.81,2021-12-31
KCB,2021,E1,135919.52,2021-12-31
KCB,2021,P1,72690.19,2021-12-31
KCB,2021,P2,28478.18,2021-12-31
KCB,2021,P3,44212.02,2021-12-31
KCB,2021,P4,21305.15,2021-12-31
KCB,2021,P5,31934.79,2021-12-31
KCB,2021,P6,33582.38,2021-12-31
KCB,2021,P7,23507.67,2021-12-31
KCB,2021,L1,771360.73,2021-12-31
KCB,2021,D1,966249.98,2021-12-31
KCB,2021,R1,10.25,2021-12-31
KCB,2021,C1,15.39,2021-12-31
KCB,2022,A1,1253067.71,2022-12-31
KCB,2022,A2,1096884.78,2022-12-31
KCB,2022,E1,156182.94,2022-12-31
KCB,2022,P1,71360.88,2022-12-31
KCB,2022,P2,34758.0,2022-12-31
KCB,2022,P3,36602.88,2022-12-31
KCB,2022,P4,11887.19,2022-12-31
KCB,2022,P5,24706.25,2022-12-31
KCB,2022,P6,23783.82,2022-12-31
KCB,2022,P7,16648.67,2022-12-31
KCB,2022,L1,721638.35,2022-12-31
KCB,2022,D1,1032147.0,2022-12-31
KCB,2022,R1,11.12,2022-12-31
KCB,2022,C1,17.68,2022-12-31
KCB,2023,A1,1421575.09,2023-12-31
KCB,2023,A2,1235046.38,2023-12-31
KCB,2023,E1,186528.71,2023-12-31
KCB,2023,P1,75974.8,2023-12-31
KCB,2023,P2,23360.77,2023-12-31
KCB,2023,P3,52614.03,2023-12-31
KCB,2023,P4,21362.26,2023-12-31
KCB,2023,P5,37591.17,2023-12-31
KCB,2023,P6,36385.13,2023-12-31
KCB,2023,P7,25469.59,2023-12-31
KCB,2023,L1,942927.76,2023-12-31
KCB,2023,D1,1160097.43,2023-12-31
KCB,2023,R1,14.61,2023-12-31
KCB,2023,C1,19.54,2023-12-31
KCB,2024,A1,1574086.15,2024-12-31
KCB,2024,A2,1384559.12,2024-12-31
KCB,2024,E1,189527.03,2024-12-31
KCB,2024,P1,88250.78,2024-12-31
KCB,2024,P2,47950.35,2024-12-31
KCB,2024,P3,40300.43,2024-12-31
KCB,2024,P4,17524.58,2024-12-31
KCB,2024,P5,26421.12,2024-12-31
