transaction_id,timestamp,channel,category,amount_kes,county,is_fraudulent
EQK000000,2025-04-13 19:28:00,ATM,Withdrawal,149615.69,Mombasa,False
EQK000001,2025-03-29 20:35:00,ATM,Deposit,15046.48,Nakuru,False
EQK000002,2025-05-10 20:32:00,Agency Banking,Utility Bill,13594.15,Mombasa,False
EQK000003,2025-02-28 09:27:00,Agency Banking,Deposit,23561.0,Kiambu,False
EQK000004,2025-03-05 02:36:00,ATM,Withdrawal,113174.31,Nairobi,False
EQK000005,2025-01-14 17:57:00,EazzyPay,Utility Bill,3344.13,Nakuru,False
EQK000006,2025-01-08 14:34:00,Visa Card,Retail,4252.31,Nakuru,False
EQK000007,2025-05-14 21:41:00,Agency Banking,Deposit,8797.01,Uasin Gishu,False
EQK000008,2025-01-14 15:14:00,Visa Card,Merchant Payment,12261.59,Nairobi,False
EQK000009,2025-03-23 14:52:00,Equitel,Retail,4573.55,Kiambu,False
EQK000010,2025-01-15 12:00:00,EazzyPay,Retail,11697.55,Nairobi,False
EQK000011,2025-05-19 18:16:00,ATM,Peer-to-Peer,77149.91,Nairobi,False
EQK000012,2025-02-10 06:08:00,Agency Banking,Utility Bill,3289.84,Nairobi,False
EQK000013,2025-02-06 02:43:00,Visa Card,Peer-to-Peer,56168.22,Nairobi,False
EQK000014,2025-05-11 00:04:00,Equitel,Deposit,123955.1,Kiambu,False
EQK000015,2025-02-11 12:50:00,EazzyPay,Merchant Payment,141255.62,Nakuru,False
EQK000016,2025-05-23 10:28:00,Agency Banking,Withdrawal,20168.0,Nairobi,False
EQK000017,2025-03-07 09:44:00,Visa Card,Retail,2029.67,Mombasa,False
EQK000018,2025-03-25 10:57:00,Agency Banking,Retail,5111.05,Nairobi,False
EQK000019,2025-05-01 19:12:00,EazzyPay,Peer-to-Peer,794.52,Kiambu,False
EQK000020,2025-02-20 09:43:00,ATM,Deposit,55472.29,Kiambu,False
EQK000021,2025-03-03 16:57:00,Agency Banking,Merchant Payment,63693.79,Mombasa,False
EQK000022,2025-04-23 23:16:00,ATM,Retail,14660.92,Mombasa,False
EQK000023,2025-05-09 18:01:00,Equity Mobile,Merchant Payment,112498.01,Kiambu,False
EQK000024,2025-05-03 16:37:00,Equity Mobile,Merchant Payment,245872.36,Nairobi,False
EQK000025,2025-05-24 00:08:00,Agency Banking,Peer-to-Peer,18733.2,Nairobi,False
EQK000026,2025-03-31 02:18:00,Agency Banking,Merchant Payment,235190.29,Nairobi,False
EQK000027,2025-04-14 00:10:00,Agency Banking,Retail,2145.37,Kisumu,False
EQK000028,2025-04-09 06:59:00,Equitel,Retail,7991.22,Nairobi,False
EQK000029,2025-05-20 04:36:00,ATM,Retail,4543.63,Nakuru,False
EQK000030,2025-02-23 23:32:00,Agency Banking,Peer-to-Peer,93569.94,Uasin Gishu,False
EQK000031,2025-04-22 02:24:00,Equity Mobile,Utility Bill,4859.39,Kiambu,False
EQK000032,2025-03-09 00:13:00,Equity Mobile,Merchant Payment,92250.73,Nakuru,False
EQK000033,2025-05-08 00:47:00,Agency Banking,Peer-to-Peer,36834.81,Nairobi,False
EQK000034,2025-02-07 05:44:00,ATM,Deposit,226618.6,Mombasa,False
EQK000035,2025-04-07 14:32:00,Equity Mobile,Merchant Payment,180890.58,Nairobi,False
EQK000036,2025-02-18 16:43:00,Agency Banking,Deposit,238528.22,Kisumu,False
EQK000037,2025-02-06 23:28:00,EazzyPay,Deposit,241697.05,Kajiado,False
EQK000038,2025-03-08 17:24:00,Equitel,Deposit,174311.42,Kiambu,False
EQK000039,2025-02-01 14:21:00,Equitel,Peer-to-Peer,29599.53,Nairobi,False
EQK000040,2025-05-17 10:53:00,Equity Mobile,Utility Bill,20424.67,Uasin Gishu,False
EQK000041,2025-01-13 06:56:00,Agency Banking,Withdrawal,49374.21,Nairobi,False
EQK000042,2025-05-22 11:50:00,Agency Banking,Utility Bill,3255.57,Kiambu,False
EQK000043,2025-03-04 21:57:00,Equitel,Deposit,63312.59,Nairobi,False
EQK000044,2025-04-11 00:07:00,Equity Mobile,Merchant Payment,54739.44,Kiambu,False
EQK000045,2025-04-19 19:29:00,ATM,Merchant Payment,34053.61,Kajiado,False
EQK000046,2025-05-25 23:18:00,Agency Banking,Utility Bill,2882.95,Nairobi,False
EQK000047,2025-01-23 08:11:00,Equity Mobile,Retail,3012.77,Nairobi,False
EQK000048,2025-05-06 21:47:00,EazzyPay,Withdrawal,70703.54,Kajiado,False
EQK000049,2025-03-10 21:28:00,ATM,Merchant Payment,141943.27,Nairobi,False
EQK000050,2025-01-29 13:27:00,Equity Mobile,Retail,5015.49,Kajiado,False
EQK000051,2025-05-24 15:20:00,Agency Banking,Retail,7237.77,Kiambu,False
EQK000052,2025-03-10 03:33:00,Agency Banking,Utility Bill,16020.64,Kiambu,False
EQK000053,2025-03-10 12:03:00,Equitel,Retail,13074.38,Kiambu,False
EQK000054,2025-05-20 17:34:00,Agency Banking,Retail,7144.67,Kiambu,False
EQK000055,2025-03-08 00:32:00,Equitel,Peer-to-Peer,19659.53,Nairobi,False
EQK000056,2025-05-10 18:49:00,ATM,Retail,10007.98,Nairobi,False
EQK000057,2025-04-25 08:06:00,Agency Banking,Utility Bill,17721.69,Kiambu,False
EQK000058,2025-01-21 03:09:00,Equity Mobile,Retail,8743.54,Kiambu,False
EQK000059,2025-02-05 17:48:00,Visa Card,Withdrawal,60410.62,Nakuru,False
EQK000060,2025-04-09 08:29:00,EazzyPay,Retail,7826.16,Uasin Gishu,False
EQK000061,2025-01-19 16:35:00,Agency Banking,Withdrawal,226440.11,Nairobi,False
EQK000062,2025-05-08 19:18:00,Equitel,Withdrawal,23834.33,Kiambu,False
EQK000063,2025-02-22 22:15:00,EazzyPay,Withdrawal,232801.35,Kajiado,False
EQK000064,2025-05-02 04:34:00,Equity Mobile,Peer-to-Peer,70612.57,Kajiado,False
EQK000065,2025-05-25 05:06:00,Visa Card,Withdrawal,56421.53,Nairobi,False
EQK000066,2025-01-05 04:37:00,ATM,Withdrawal,93289.89,Uasin Gishu,False
EQK000067,2025-02-14 03:35:00,Visa Card,Merchant Payment,21791.68,Uasin Gishu,False
EQK000068,2025-04-01 09:25:00,ATM,Deposit,123663.65,Nairobi,False
EQK000069,2025-02-27 19:27:00,Equity Mobile,Retail,11291.07,Nakuru,False
EQK000070,2025-04-23 23:32:00,Visa Card,Withdrawal,240842.41,Nairobi,False
EQK000071,2025-03-02 14:20:00,Visa Card,Withdrawal,248248.23,Nairobi,False
EQK000072,2025-01-20 17:46:00,EazzyPay,Retail,10588.36,Mombasa,False
