tax_head,year,annual_actual_revenue,annual_target_revenue,performance_percent
Customs,2024,532360.44,537185.77,99.10173905016136
PAYE,2021,377572.12,367274.45999999996,102.80380508897898
VAT,2024,505622.94999999995,499510.72,101.22364340849381
Excise,2021,377138.56,370567.75,101.77317373138919
VAT,2021,326567.49000000005,324305.39,100.697521555223
Corporation Tax,2021,312347.57999999996,309520.44,100.91339363565133
PAYE,2024,460442.42999999993,455065.60000000003,101.18155052809968
Corporation Tax,2024,414341.87,418219.73000000004,99.07276971366224
Excise,2024,504790.36,493100.99999999994,102.37058128050846
Customs,2021,330296.36,319608.78,103.34395694636423
